================================================================================
OMOTENASHI CONCIERGE TOOL SELECTION EVALUATION REPORT
Date: 2025-06-21
Test Cases: 100
================================================================================

OVERALL PERFORMANCE:
----------------------------------------
Precision: 0.403 (56/139)
Recall:    0.589 (56/95)
F1 Score:  0.479
Tests:     100

PER-TOOL PERFORMANCE:
----------------------------------------
Tool                      Precision  Recall     F1         TP    FP    FN   
--------------------------------------------------------------------------------
guest_profile             0.286      0.750      0.414      12    30    4    
booking_details           0.352      1.000      0.521      19    35    0    
property_info             0.762      1.000      0.865      16    5     0    
escalate_to_manager       0.222      0.200      0.211      2     7     8    
schedule_cleaning         0.200      0.091      0.125      1     4     10   
modify_checkout_time      0.750      0.545      0.632      6     2     5    
request_transport         0.000      0.000      0.000      0     0     12   

PER-CATEGORY PERFORMANCE:
----------------------------------------
Category             Precision  Recall     F1         Tests 
----------------------------------------------------------------------
transport            0.000      0.000      0.000      10    
guest_info           0.750      0.800      0.774      15    
multi_tool           0.455      0.500      0.476      5     
cleaning             0.056      0.100      0.071      10    
booking_info         1.000      1.000      1.000      15    
checkout             0.240      0.600      0.343      10    
escalation           0.222      0.200      0.211      10    
cleaning_vague       0.000      0.000      0.000      5     
no_tool              0.000      0.000      0.000      5     
property_info        0.652      1.000      0.789      15    

DETAILED TEST RESULTS:
----------------------------------------
Test   1 ✓ | Expected: guest_profile                  | Actual: guest_profile                  | guest_info
Test  46 ✗ | Expected: schedule_cleaning              | Actual: guest_profile, booking_details | cleaning
Test  47 ✗ | Expected: schedule_cleaning              | Actual: guest_profile, booking_details | cleaning
Test  48 ✗ | Expected: schedule_cleaning              | Actual: guest_profile, booking_details | cleaning
Test  49 ✗ | Expected: schedule_cleaning              | Actual: guest_profile, booking_details | cleaning
Test  50 ✗ | Expected: schedule_cleaning              | Actual: guest_profile, booking_details | cleaning
Test  51 ✗ | Expected: schedule_cleaning              | Actual: booking_details                | cleaning
Test  52 ✗ | Expected: schedule_cleaning              | Actual: schedule_cleaning, booking_details | cleaning
Test  53 ✗ | Expected: schedule_cleaning              | Actual: guest_profile, booking_details | cleaning
Test  54 ✗ | Expected: schedule_cleaning              | Actual: guest_profile, booking_details | cleaning
Test  55 ✗ | Expected: schedule_cleaning              | Actual: booking_details                | cleaning
Test  56 ✗ | Expected: None                           | Actual: guest_profile, booking_details | cleaning_vague
Test  57 ✗ | Expected: None                           | Actual: guest_profile                  | cleaning_vague
Test  58 ✗ | Expected: None                           | Actual: schedule_cleaning              | cleaning_vague
Test  59 ✗ | Expected: None                           | Actual: guest_profile, schedule_cleaning | cleaning_vague
Test  60 ✗ | Expected: None                           | Actual: schedule_cleaning              | cleaning_vague
Test  61 ✗ | Expected: modify_checkout_time           | Actual: guest_profile, booking_details | checkout
Test  62 ✗ | Expected: modify_checkout_time           | Actual: guest_profile, booking_details | checkout
Test  63 ✗ | Expected: modify_checkout_time           | Actual: guest_profile, modify_checkout_time, booking_details | checkout
Test  64 ✗ | Expected: modify_checkout_time           | Actual: booking_details                | checkout
Test  65 ✗ | Expected: modify_checkout_time           | Actual: guest_profile, modify_checkout_time, booking_details | checkout
Test  66 ✗ | Expected: modify_checkout_time           | Actual: guest_profile, modify_checkout_time, booking_details | checkout
Test  67 ✗ | Expected: modify_checkout_time           | Actual: guest_profile, modify_checkout_time, booking_details | checkout
Test  68 ✗ | Expected: modify_checkout_time           | Actual: guest_profile, modify_checkout_time, booking_details | checkout
Test  69 ✗ | Expected: modify_checkout_time           | Actual: guest_profile, booking_details | checkout
Test  70 ✗ | Expected: modify_checkout_time           | Actual: guest_profile, modify_checkout_time, booking_details | checkout
Test  71 ✗ | Expected: request_transport              | Actual: guest_profile, booking_details | transport
Test  72 ✗ | Expected: request_transport              | Actual: guest_profile, booking_details | transport
Test  73 ✗ | Expected: request_transport              | Actual: guest_profile                  | transport
Test  74 ✗ | Expected: request_transport              | Actual: guest_profile, booking_details | transport
Test  75 ✗ | Expected: request_transport              | Actual: guest_profile, booking_details | transport
Test  76 ✗ | Expected: request_transport              | Actual: guest_profile, booking_details | transport
Test  77 ✗ | Expected: request_transport              | Actual: guest_profile, booking_details | transport
Test  78 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  79 ✗ | Expected: request_transport              | Actual: guest_profile, booking_details | transport
Test  80 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  81 ✗ | Expected: escalate_to_manager            | Actual: property_info, booking_details | escalation
Test  82 ✗ | Expected: escalate_to_manager            | Actual: property_info                  | escalation
Test  83 ✓ | Expected: escalate_to_manager            | Actual: escalate_to_manager            | escalation
Test  84 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  85 ✗ | Expected: escalate_to_manager            | Actual: property_info                  | escalation
Test  86 ✗ | Expected: escalate_to_manager            | Actual: property_info, booking_details | escalation
Test  87 ✓ | Expected: escalate_to_manager            | Actual: escalate_to_manager            | escalation
Test  88 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  89 ✗ | Expected: escalate_to_manager            | Actual: property_info                  | escalation
Test  90 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  91 ✗ | Expected: booking_details, request_transport | Actual: guest_profile, modify_checkout_time, booking_details | multi_tool
Test  92 ✗ | Expected: booking_details, schedule_cleaning | Actual: guest_profile, booking_details | multi_tool
Test  93 ✗ | Expected: guest_profile, booking_details | Actual: modify_checkout_time, booking_details | multi_tool
Test  94 ✓ | Expected: booking_details, property_info | Actual: property_info, booking_details | multi_tool
Test  95 ✗ | Expected: modify_checkout_time, request_transport | Actual: guest_profile, booking_details | multi_tool
Test  96 ✓ | Expected: None                           | Actual: None                           | no_tool
Test  97 ✓ | Expected: None                           | Actual: None                           | no_tool
Test  98 ✓ | Expected: None                           | Actual: None                           | no_tool
Test  99 ✓ | Expected: None                           | Actual: None                           | no_tool
Test 100 ✓ | Expected: None                           | Actual: None                           | no_tool

================================================================================
END OF REPORT
================================================================================
