================================================================================
OMOTENASHI CONCIERGE TOOL SELECTION EVALUATION REPORT
Date: 2025-06-22
Test Cases: 100
================================================================================

OVERALL PERFORMANCE:
----------------------------------------
Precision: 0.000 (0/0)
Recall:    0.000 (0/95)
F1 Score:  0.000
Tests:     100

PER-TOOL PERFORMANCE:
----------------------------------------
Tool                      Precision  Recall     F1         TP    FP    FN   
--------------------------------------------------------------------------------
guest_profile             0.000      0.000      0.000      0     0     16   
booking_details           0.000      0.000      0.000      0     0     19   
property_info             0.000      0.000      0.000      0     0     16   
schedule_cleaning         0.000      0.000      0.000      0     0     11   
modify_checkout_time      0.000      0.000      0.000      0     0     11   
request_transport         0.000      0.000      0.000      0     0     12   
escalate_to_manager       0.000      0.000      0.000      0     0     10   

PER-CATEGORY PERFORMANCE:
----------------------------------------
Category             Precision  Recall     F1         Tests 
----------------------------------------------------------------------
property_info        0.000      0.000      0.000      15    
checkout             0.000      0.000      0.000      10    
cleaning_vague       0.000      0.000      0.000      5     
escalation           0.000      0.000      0.000      10    
multi_tool           0.000      0.000      0.000      5     
no_tool              0.000      0.000      0.000      5     
booking_info         0.000      0.000      0.000      15    
cleaning             0.000      0.000      0.000      10    
guest_info           0.000      0.000      0.000      15    
transport            0.000      0.000      0.000      10    

DETAILED TEST RESULTS:
----------------------------------------
Test   1 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test  24 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  25 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  26 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  27 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  28 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  29 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  30 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  31 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  32 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  33 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  34 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  35 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  36 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  37 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  38 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  39 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  40 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  41 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  42 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  43 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  44 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  45 ✗ | Expected: property_info                  | Actual: None                           | property_info
Test  46 ✗ | Expected: schedule_cleaning              | Actual: None                           | cleaning
Test  47 ✗ | Expected: schedule_cleaning              | Actual: None                           | cleaning
Test  48 ✗ | Expected: schedule_cleaning              | Actual: None                           | cleaning
Test  49 ✗ | Expected: schedule_cleaning              | Actual: None                           | cleaning
Test  50 ✗ | Expected: schedule_cleaning              | Actual: None                           | cleaning
Test  51 ✗ | Expected: schedule_cleaning              | Actual: None                           | cleaning
Test  52 ✗ | Expected: schedule_cleaning              | Actual: None                           | cleaning
Test  53 ✗ | Expected: schedule_cleaning              | Actual: None                           | cleaning
Test  54 ✗ | Expected: schedule_cleaning              | Actual: None                           | cleaning
Test  55 ✗ | Expected: schedule_cleaning              | Actual: None                           | cleaning
Test  56 ✓ | Expected: None                           | Actual: None                           | cleaning_vague
Test  57 ✓ | Expected: None                           | Actual: None                           | cleaning_vague
Test  58 ✓ | Expected: None                           | Actual: None                           | cleaning_vague
Test  59 ✓ | Expected: None                           | Actual: None                           | cleaning_vague
Test  60 ✓ | Expected: None                           | Actual: None                           | cleaning_vague
Test  61 ✗ | Expected: modify_checkout_time           | Actual: None                           | checkout
Test  62 ✗ | Expected: modify_checkout_time           | Actual: None                           | checkout
Test  63 ✗ | Expected: modify_checkout_time           | Actual: None                           | checkout
Test  64 ✗ | Expected: modify_checkout_time           | Actual: None                           | checkout
Test  65 ✗ | Expected: modify_checkout_time           | Actual: None                           | checkout
Test  66 ✗ | Expected: modify_checkout_time           | Actual: None                           | checkout
Test  67 ✗ | Expected: modify_checkout_time           | Actual: None                           | checkout
Test  68 ✗ | Expected: modify_checkout_time           | Actual: None                           | checkout
Test  69 ✗ | Expected: modify_checkout_time           | Actual: None                           | checkout
Test  70 ✗ | Expected: modify_checkout_time           | Actual: None                           | checkout
Test  71 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  72 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  73 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  74 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  75 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  76 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  77 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  78 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  79 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  80 ✗ | Expected: request_transport              | Actual: None                           | transport
Test  81 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  82 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  83 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  84 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  85 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  86 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  87 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  88 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  89 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  90 ✗ | Expected: escalate_to_manager            | Actual: None                           | escalation
Test  91 ✗ | Expected: booking_details, request_transport | Actual: None                           | multi_tool
Test  92 ✗ | Expected: booking_details, schedule_cleaning | Actual: None                           | multi_tool
Test  93 ✗ | Expected: guest_profile, booking_details | Actual: None                           | multi_tool
Test  94 ✗ | Expected: booking_details, property_info | Actual: None                           | multi_tool
Test  95 ✗ | Expected: modify_checkout_time, request_transport | Actual: None                           | multi_tool
Test  96 ✓ | Expected: None                           | Actual: None                           | no_tool
Test  97 ✓ | Expected: None                           | Actual: None                           | no_tool
Test  98 ✓ | Expected: None                           | Actual: None                           | no_tool
Test  99 ✓ | Expected: None                           | Actual: None                           | no_tool
Test 100 ✓ | Expected: None                           | Actual: None                           | no_tool

================================================================================
END OF REPORT
================================================================================
